BBG ISIN;NAME;INDUSTRY_SECTOR;INDUSTRY_SUBGROUP;MKT_CAP_LAST_TRD;CUR_MKT_CAP; has_large_mkt_cap ; has_large_mkt_cap ; has_large_mkt_cap ;AMT_ISSUED;SECURITY_TYP;CNTRY_OF_DOMICILE;CRNCY;LAST_UPDATE_DT;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_MDY_ISSUER
FR0000131104 ISIN;BNP PARIBAS;Financial;Diversified Banking Inst;60478.37;60478367001.68; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;FR;USD;05.08.2016;A;A1
GB0002374006 ISIN;DIAGEO PLC;Consumer, Non-cyclical;Beverages-Wine/Spirits;71433.59;71433587004.10; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;GB;USD;05.08.2016;A-;A3
GB0002875804 ISIN;BRITISH AMERICAN TOBACCO PLC;Consumer, Non-cyclical;Tobacco;116427.96;116427960807.80; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;GB;USD;03.08.2016;A-;A3
GB0004835483 ISIN;SOUTH AFRICAN BREWERIES;Consumer, Non-cyclical;Brewery;6134.35;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;GB;USD;#N/A Field Not Applicable;A-;#N/A N/A
GB0009252882 ISIN;GLAXOSMITHKLINE PLC;Consumer, Non-cyclical;Medical-Drugs;106709.21;106709212903.48; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;GB;USD;05.08.2016;A+;A2
GB0009895292 ISIN;ASTRAZENECA PLC;Consumer, Non-cyclical;Medical-Drugs;85414.27;85414269113.10; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;GB;USD;05.08.2016;A-;#N/A N/A
GB0030913577 ISIN;BT GROUP PLC;Communications;Telephone-Integrated;53609.06;53609061805.20; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;GB;USD;05.08.2016;BBB+;#N/A N/A
GB00B03MLX29 ISIN;ROYAL DUTCH SHELL PLC-A SHS;Energy;Oil Comp-Integrated;203106.64;202979778200.44; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;NL;USD;05.08.2016;A;Aa2
GB00B03MLX29 ISIN;ROYAL DUTCH SHELL PLC-A SHS;Energy;Oil Comp-Integrated;203106.64;202979778200.44; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;NL;USD;05.08.2016;A;Aa2
GB00B1XZS820 ISIN;ANGLO AMERICAN PLC;Basic Materials;Diversified Minerals;14357.00;14356995960.72; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;GB;USD;05.08.2016;BB;WR
HK0000049939 ISIN;CHINA UNICOM HONG KONG LTD;Communications;Cellular Telecom;25383.90;25383905947.98; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;27.07.2016;#N/A N/A;#N/A N/A
HK0000055878 ISIN;CHINA TAIPING INSURANCE HOLD;Financial;Multi-line Insurance;7547.44;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;BBB+;#N/A N/A
HK0000056264 ISIN;CHINA SOUTH CITY HOLDINGS;Financial;Real Estate Oper/Develop;13370.56;13370557738.33; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;HKD;08.08.2016;B;#N/A N/A
HK0000063609 ISIN;SWIRE PROPERTIES LTD;Financial;Real Estate Oper/Develop;15502.50;15502500000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;30.06.2016;A-;A2
HK0000069689 ISIN;AIA GROUP LTD;Financial;Life/Health Insurance;76514.42;76514417392.50; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;A;#N/A N/A
HK0000069689 ISIN;AIA GROUP LTD;Financial;Life/Health Insurance;76514.42;76514417392.50; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;A;#N/A N/A
HK0000083920 ISIN;SUN ART RETAIL GROUP LTD;Consumer, Cyclical;Retail-Hypermarkets;6124.49;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
HK0002007356 ISIN;CLP HOLDINGS LTD;Utilities;Electric-Integrated;25668.74;25668737791.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;03.08.2016;A-;#N/A N/A
HK0002007356 ISIN;CLP HOLDINGS LTD;Utilities;Electric-Integrated;25668.74;25668737791.20; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;03.08.2016;A-;#N/A N/A
HK0004000045 ISIN;WHARF HOLDINGS LTD;Diversified;Diversified Operations;20368.50;20368503637.44; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;NR;#N/A N/A
HK0004000045 ISIN;WHARF HOLDINGS LTD;Diversified;Diversified Operations;20368.50;20368503637.44; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;NR;#N/A N/A
HK0006000050 ISIN;POWER ASSETS HOLDINGS LTD;Utilities;Electric-Integrated;20915.76;20915764209.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;01.08.2016;A-;#N/A N/A
HK0006000050 ISIN;POWER ASSETS HOLDINGS LTD;Utilities;Electric-Integrated;20915.76;20915764209.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;01.08.2016;A-;#N/A N/A
HK0008011667 ISIN;PCCW LTD;Communications;Telecom Services;5665.94;5665941986.73; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;#N/A N/A;#N/A N/A
HK0011000095 ISIN;HANG SENG BANK LTD;Financial;Commer Banks Non-US;32979.29;32979287196.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;04.08.2016;AA-;#N/A N/A
HK0011000095 ISIN;HANG SENG BANK LTD;Financial;Commer Banks Non-US;32979.29;32979287196.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;04.08.2016;AA-;#N/A N/A
HK0016000132 ISIN;SUN HUNG KAI PROPERTIES;Financial;Real Estate Oper/Develop;41805.64;41805637836.56; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;01.08.2016;A+;#N/A N/A
HK0016000132 ISIN;SUN HUNG KAI PROPERTIES;Financial;Real Estate Oper/Develop;41805.64;41805637836.56; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;01.08.2016;A+;#N/A N/A
HK0017000149 ISIN;NEW WORLD DEVELOPMENT;Financial;Real Estate Oper/Develop;10047.74;10047736868.16; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;18.07.2016;#N/A N/A;#N/A N/A
HK0017000149 ISIN;NEW WORLD DEVELOPMENT;Financial;Real Estate Oper/Develop;10047.74;10047736868.16; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;18.07.2016;#N/A N/A;#N/A N/A
HK0019000162 ISIN;SWIRE PACIFIC LTD - CL A;Diversified;Diversified Operations;16943.06;16943061875.05; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;A-;#N/A N/A
HK0019000162 ISIN;SWIRE PACIFIC LTD - CL A;Diversified;Diversified Operations;16943.06;16943061875.05; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;A-;#N/A N/A
HK0023000190 ISIN;BANK OF EAST ASIA LTD;Financial;Commer Banks Non-US;11054.59;11054592967.96; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;29.07.2016;A;#N/A N/A
HK0066009694 ISIN;MTR CORP;Industrial;Transport-Rail;27677.96;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;AAA;Aa1
HK0083000502 ISIN;SINO LAND CO;Financial;Real Estate Oper/Develop;8865.42;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
HK0083000502 ISIN;SINO LAND CO;Financial;Real Estate Oper/Develop;8865.42;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
HK0101000591 ISIN;HANG LUNG PROPERTIES LTD;Financial;Real Estate Oper/Develop;9444.07;9444068907.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;26.07.2016;#N/A N/A;#N/A N/A
HK0101000591 ISIN;HANG LUNG PROPERTIES LTD;Financial;Real Estate Oper/Develop;9444.07;9444068907.00; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;26.07.2016;#N/A N/A;#N/A N/A
HK0165000859 ISIN;CHINA EVERBRIGHT LTD;Financial;Diversified Finan Serv;3353.65;3353654886.88; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;28.07.2016;#N/A N/A;#N/A N/A
HK0285041858 ISIN;BYD ELECTRONIC INTL CO LTD;Communications;Telecommunication Equip;1622.31;1622307240.00; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;04.08.2016;#N/A N/A;#N/A N/A
HK0291001490 ISIN;CHINA RESOURCES BEER HOLDIN;Consumer, Non-cyclical;Brewery;6488.35;6488353810.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;25.07.2016;#N/A N/A;#N/A N/A
HK0291001490 ISIN;CHINA RESOURCES BEER HOLDIN;Consumer, Non-cyclical;Brewery;6488.35;6488353810.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;25.07.2016;#N/A N/A;#N/A N/A
HK0388045442 ISIN;HONG KONG EXCHANGES & CLEAR;Financial;Finance-Other Services;29546.28;29546281423.59; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;04.08.2016;#N/A N/A;#N/A N/A
HK0388045442 ISIN;HONG KONG EXCHANGES & CLEAR;Financial;Finance-Other Services;29546.28;29546281423.59; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;04.08.2016;#N/A N/A;#N/A N/A
HK0656038673 ISIN;FOSUN INTERNATIONAL LTD;Basic Materials;Steel-Producers;11230.28;11230276387.78; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;BB;#N/A N/A
HK0669013440 ISIN;TECHTRONIC INDUSTRIES CO LTD;Industrial;Mach Tools&Rel Products;7410.20;7410196041.64; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;29.06.2016;#N/A N/A;#N/A N/A
HK0688002218 ISIN;CHINA OVERSEAS LAND & INVEST;Financial;Real Estate Oper/Develop;32046.89;32046889488.25; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;12.07.2016;BBB+;Baa1
HK0823032773 ISIN;LINK REIT;Financial;REITS-Shopping Centers;16251.98;16251977518.24; -   ; -   ; -   ;#N/A Field Not Applicable;REIT;HK;USD;05.08.2016;A;A2
HK0941009539 ISIN;CHINA MOBILE LTD;Communications;Cellular Telecom;253691.24;253691233093.83; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;AA-;#N/A N/A
HK0992009065 ISIN;LENOVO GROUP LTD;Technology;Computers;7315.05;7315049135.75; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;#N/A N/A;#N/A N/A
HK0992009065 ISIN;LENOVO GROUP LTD;Technology;Computers;7315.05;7315049135.75; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;#N/A N/A;#N/A N/A
HK1111036765 ISIN;CHONG HING BANK LTD;Financial;Commer Banks Non-US;696.00;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
HK2388011192 ISIN;BOC HONG KONG HOLDINGS LTD;Financial;Commer Banks Non-US;34678.72;34678719272.48; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;29.07.2016;#N/A N/A;#N/A N/A
HK2388011192 ISIN;BOC HONG KONG HOLDINGS LTD;Financial;Commer Banks Non-US;34678.72;34678719272.48; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;29.07.2016;#N/A N/A;#N/A N/A
HK3377040226 ISIN;SINO-OCEAN GROUP HOLDING LTD;Financial;Real Estate Oper/Develop;3035.61;3035607381.43; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;23.06.2016;BBB-;#N/A N/A
IE00B56GVS15 ISIN;ALKERMES PLC;Consumer, Non-cyclical;Medical-Drugs;7364.14;7364140198.77; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;IE;USD;05.08.2016;BB-;#N/A N/A
IE00BD1NQJ95 ISIN;ACTAVIS PLC;Consumer, Non-cyclical;Medical-Drugs; #N/A N/A ; #N/A N/A ;;;;#N/A Field Not Applicable;Common Stock;US;USD;#N/A Field Not Applicable;BBB-   *+;#N/A N/A
IE00BD1NQJ95 ISIN;ACTAVIS PLC;Consumer, Non-cyclical;Medical-Drugs; #N/A N/A ; #N/A N/A ;;;;#N/A Field Not Applicable;Common Stock;US;USD;#N/A Field Not Applicable;BBB-   *+;#N/A N/A
IE00BLNN3691 ISIN;WEATHERFORD INTERNATIONAL PL;Energy;Oil-Field Services;4830.26;4830257107.83; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;BB-;#N/A N/A
IE00BQRQXQ92 ISIN;TYCO INTERNATIONAL PLC;Industrial;Electronic Secur Devices;19316.49;19316488312.44; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;A-     *-;WR
IE00BQRQXQ92 ISIN;TYCO INTERNATIONAL PLC;Industrial;Electronic Secur Devices;19316.49;19316488312.44; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;A-     *-;WR
IL0011214744 ISIN;ISRAEL LAND DEVELOPMENT CO E;Energy;Oil Comp-Explor&Prodtn;28.80;28803486.65; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;IL;ILs;08.08.2016;#N/A N/A;#N/A N/A
IT0000062072 ISIN;ASSICURAZIONI GENERALI;Financial;Multi-line Insurance;19576.54;19576538401.90; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;IT;USD;04.08.2016;NR;#N/A N/A
IT0003261069 ISIN;ASTALDI SPA;Industrial;Building-Heavy Construct;721.45;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;IT;USD;#N/A Field Not Applicable;B      *-;#N/A N/A
JE00B55Q3P39 ISIN;GENEL ENERGY PLC;Energy;Oil Comp-Explor&Prodtn;358.28;358278249.19; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;GB;USD;04.08.2016;#N/A N/A;#N/A N/A
JE00B5WLXH36 ISIN;POLYUS GOLD INTERNATIONAL LT;Basic Materials;Gold Mining;8975.16;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;GB;USD;#N/A Field Not Applicable;BB-;#N/A N/A
JP3190000004 ISIN;OBAYASHI CORP;Industrial;Building&Construct-Misc;7236.74;7236741749.38; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;JP;USD;15.07.2016;NR;#N/A N/A
JP3435000009 ISIN;SONY CORP;Consumer, Cyclical;Audio/Video Products;41300.25;41300249826.60; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;JP;USD;05.08.2016;BBB-;Ba1
JP3436100006 ISIN;SOFTBANK GROUP CORP;Communications;Telephone-Integrated;68749.81;68749812499.90; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;JP;USD;05.08.2016;BB+;WR
JP3436120004 ISIN;SBI HOLDINGS INC;Communications;Internet Financial Svcs;2369.13;2369126578.55; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;JP;USD;28.07.2016;#N/A N/A;#N/A N/A
JP3442850008 ISIN;TAISHO PHARMACEUTICAL HOLDIN;Consumer, Non-cyclical;Medical-Drugs;9464.66;9464663565.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;JP;USD;20.07.2016;#N/A N/A;#N/A N/A
JP3686800008 ISIN;NIPPON SHEET GLASS CO LTD;Industrial;Bldg Prod-Doors&Windows;722.84;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;JP;USD;#N/A Field Not Applicable;NR;#N/A N/A
JP3802300008 ISIN;FAST RETAILING CO LTD;Consumer, Cyclical;Retail-Apparel/Shoe;37973.31;37973308111.44; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;JP;USD;05.08.2016;A;#N/A N/A
JP3898400001 ISIN;MITSUBISHI CORP;Consumer, Cyclical;Import/Export;30227.36;30227360937.51; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;JP;USD;04.08.2016;A;A2
JP3902900004 ISIN;MITSUBISHI UFJ FINANCIAL GRO;Financial;Diversified Banking Inst;68931.47;68931473834.30; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;JP;USD;03.08.2016;A;A1
KYG040111059 ISIN;ANTA SPORTS PRODUCTS LTD;Consumer, Cyclical;Retail-Apparel/Shoe;5102.62;5102617524.00; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;13.07.2016;#N/A N/A;#N/A N/A
KYG0535Q1331 ISIN;ASM PACIFIC TECHNOLOGY;Technology;Semiconductor Equipment;2984.87;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;BB+;#N/A N/A
KYG097021045 ISIN;BELLE INTERNATIONAL HOLDINGS;Consumer, Cyclical;Retail-Apparel/Shoe;5650.94;5650936110.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;02.08.2016;#N/A N/A;#N/A N/A
KYG112591014 ISIN;BIOSTIME INTERNATIONAL HOLDI;Consumer, Non-cyclical;Consumer Products-Misc;2080.29;2080287877.80; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;30.06.2016;BB;#N/A N/A
KYG1179M1078 ISIN;BLOOMAGE BIOTECHNOLOGY;Basic Materials;Chemicals-Specialty;4562.49;4562489408.40; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;HKD;08.08.2016;#N/A N/A;#N/A N/A
KYG121611084 ISIN;BOER POWER HOLDINGS LTD;Industrial;Power Conv/Supply Equip; #N/A N/A ; #N/A N/A ;;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
KYG127751058 ISIN;BOYAA INTERACTIVE INTERNATIO;Technology;Entertainment Software;252.48;252481335.81; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;03.08.2016;#N/A N/A;#N/A N/A
KYG190211071 ISIN;CAR INC;Consumer, Non-cyclical;Rental Auto/Equipment;4507.09;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;BB+;#N/A N/A
KYG2103F1019 ISIN;CHEUNG KONG PROPERTY HOLDING;Financial;Real Estate Oper/Develop;27181.52;27181518063.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;04.08.2016;A-;#N/A N/A
KYG211071009 ISIN;CHINA CORD BLOOD CORP;Consumer, Non-cyclical;Medical Labs&Testing Srv;425.24;425242046.88; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;#N/A N/A;#N/A N/A
KYG211081248 ISIN;CHINA MEDICAL SYSTEM HOLDING;Consumer, Non-cyclical;Medical Products;3556.76;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
KYG2140A1076 ISIN;CIFI HOLDINGS GROUP CO LTD;Financial;Real Estate Oper/Develop;14423.83;14423833215.25; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;HKD;08.08.2016;BB-;#N/A N/A
KYG217651051 ISIN;CK HUTCHISON HOLDINGS LTD;Diversified;Diversified Operations;45202.24;45202238784.90; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;04.08.2016;A-;A3
KYG217651051 ISIN;CK HUTCHISON HOLDINGS LTD;Diversified;Diversified Operations;45202.24;45202238784.90; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;04.08.2016;A-;A3
KYG2198S1093 ISIN;CIMC ENRIC HOLDINGS LTD;Energy;Oil Field Mach&Equip;1354.40;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
KYG2418K1004 ISIN;COOLPAD GROUP LTD;Communications;Wireless Equipment;753.87;753868122.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;04.08.2016;#N/A N/A;#N/A N/A
KYG245241032 ISIN;COUNTRY GARDEN HOLDINGS CO;Financial;Real Estate Oper/Develop;8817.71;8817709348.45; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;19.07.2016;BB;#N/A N/A
KYG368441195 ISIN;FUFENG GROUP LTD;Basic Materials;Chemicals-Specialty;6188.65;6188652282.03; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;HKD;08.08.2016;BB+;#N/A N/A
KYG3958R1092 ISIN;GOLDEN EAGLE RETAIL GROUP;Consumer, Cyclical;Retail-Regnl Dept Store;1876.69;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;BB-;WR
KYG4402L1510 ISIN;HENGAN INTL GROUP CO LTD;Consumer, Non-cyclical;Feminine Health Care Prd;10156.67;10156668548.43; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;#N/A N/A;#N/A N/A
KYG4587S1049 ISIN;GREENLAND HONG KONG HOLDINGS;Financial;Real Estate Oper/Develop;2275.70;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;BB-;#N/A N/A
KYG459951003 ISIN;HOPEWELL HIGHWAY INFRASTRUCT;Industrial;Building-Heavy Construct;1543.93;1543926831.78; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;03.08.2016;#N/A N/A;#N/A N/A
KYG525621408 ISIN;KINGBOARD CHEMICAL HOLDINGS;Basic Materials;Chemicals-Other;2051.20;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;NR;#N/A N/A
KYG5264Y1089 ISIN;KINGSOFT CORP LTD;Technology;Entertainment Software;2318.83;2318828760.86; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;13.07.2016;#N/A N/A;#N/A N/A
KYG5427W1309 ISIN;LEE & MAN PAPER MANUFACTURIN;Industrial;Containers-Paper/Plastic;3417.45;3417449250.00; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;12.07.2016;#N/A N/A;#N/A N/A
KYG5636C1078 ISIN;LONKING HOLDINGS LTD;Industrial;Machinery-Constr&Mining;662.88;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;NR;#N/A N/A
KYG607441022 ISIN;MGM CHINA HOLDINGS LTD;Consumer, Cyclical;Casino Hotels;5358.00;5358000001.41; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;MO;USD;03.08.2016;#N/A N/A;#N/A N/A
KYG6145U1094 ISIN;MINTH GROUP LTD;Consumer, Cyclical;Auto/Trk Prts&Equip-Orig;2209.43;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
KYG686121032 ISIN;PACIFIC TEXTILES HOLDINGS;Consumer, Cyclical;Textile-Products; #N/A N/A ; #N/A N/A ;;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
KYG869731078 ISIN;TCC INTL HLDGS LTD;Industrial;Bldg Prod-Cement/Aggreg;322.76;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
KYG870161463 ISIN;TCL COMMUNICATION TECH HLDGS;Communications;Telecommunication Equip;1150.32;1150318702.80; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;30.06.2016;#N/A N/A;#N/A N/A
KYG875721634 ISIN;TENCENT HOLDINGS LTD;Communications;Internet Applic Sftwr;225960.97;225960961201.36; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A;A2
KYG875721634 ISIN;TENCENT HOLDINGS LTD;Communications;Internet Applic Sftwr;225960.97;225960961201.36; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A;A2
KYG8813K1085 ISIN;THE UNITED LABORATORIES INTE;Consumer, Non-cyclical;Medical-Drugs;600.32;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
KYG884931042 ISIN;361 DEGREES INTERNATIONAL;Consumer, Cyclical;Retail-Apparel/Shoe;682.31;682308660.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;BB;#N/A N/A
KYG8878S1030 ISIN;TINGYI (CAYMAN ISLN) HLDG CO;Consumer, Non-cyclical;Food-Flour&Grain;4986.56;4986555510.40; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;02.08.2016;BBB+;Baa1
KYG8878S1030 ISIN;TINGYI (CAYMAN ISLN) HLDG CO;Consumer, Non-cyclical;Food-Flour&Grain;4986.56;4986555510.40; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;02.08.2016;BBB+;Baa1
KYG9222R1065 ISIN;UNI-PRESIDENT CHINA HOLDINGS;Consumer, Non-cyclical;Food-Misc/Diversified;3239.50;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
KYG960071028 ISIN;WH GROUP LTD;Consumer, Non-cyclical;Food-Meat Products;10986.32;10986315833.25; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;19.07.2016;#N/A N/A;#N/A N/A
KYG981001038 ISIN;WUZHOU INTERNATIONAL HOLDING;Financial;Real Estate Oper/Develop;3892.40;3892402732.92; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;HKD;08.08.2016;#N/A N/A;#N/A N/A
KYG981491007 ISIN;WYNN MACAU LTD;Consumer, Cyclical;Casino Hotels;8180.87;8180873665.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;MO;USD;05.08.2016;BB;#N/A N/A
LU0323134006 ISIN;ARCELORMITTAL;Basic Materials;Steel-Producers;19467.27;19467267320.15; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;LU;USD;05.08.2016;BB;WR
