SEARCH_ISIN;BBG_ISIN;NAME;INDUSTRY_SECTOR;INDUSTRY_SUBGROUP;MKT_CAP_LAST_TRD;CUR_MKT_CAP;has_large_mkt_cap_last_traded;has_large_mkt_cap_current;has_large_mkt_cap_both;AMT_ISSUED;SECURITY_TYP;CNTRY_OF_DOMICILE;CRNCY;LAST_UPDATE_DT;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_MDY_ISSUER
MXP000511016 ISIN;MXP000511016 Equity ISIN;ALFA S.A.B.-A;Diversified;Diversified Operations;8141.595171;8141595000;0;1;1;#N/A Field Not Applicable;Common Stock;MX;USD;03.08.2016;BBB;#N/A N/A
MXP001691213 ISIN;MXP001691213 Equity ISIN;AMERICA MOVIL SAB DE C-SER L;Communications;Cellular Telecom;38052.04005;38056120585;1;0;1;#N/A Field Not Applicable;Common Stock;MX;USD;28.07.2016;A-;WR
NL0000009082 ISIN;NL0000009082 Equity ISIN;KONINKLIJKE KPN NV;Communications;Telephone-Integrated;14518.86626;14518865858;0;1;1;#N/A Field Not Applicable;Common Stock;NL;USD;20.07.2016;BBB-;#N/A N/A
NL0000009355 ISIN;NL0000009355 Equity ISIN;UNILEVER NV-CVA;Consumer, Non-cyclical;Cosmetics&Toiletries;138177.2392;1.38152E+11;1;0;1;#N/A Field Not Applicable;Dutch Cert;GB;USD;04.08.2016;A+;A1
NL0000303709 ISIN;NL0000303709 Equity ISIN;AEGON NV;Financial;Multi-line Insurance;9061.453093;9067902927;0;1;1;#N/A Field Not Applicable;Common Stock;NL;USD;02.08.2016;A-;A3
NL0000379121 ISIN;NL0000379121 Equity ISIN;RANDSTAD HOLDING NV;Consumer, Non-cyclical;Human Resources;7824.072296;7824072296;0;1;1;#N/A Field Not Applicable;Common Stock;NL;USD;21.07.2016;#N/A N/A;#N/A N/A
NL0000687663 ISIN;NL0000687663 Equity ISIN;AERCAP HOLDINGS NV;Financial;Finance-Leasing Compan;7253.398672;7253398431;0;1;1;#N/A Field Not Applicable;Common Stock;IE;USD;05.08.2016;BBB-;#N/A N/A
NL0006144495 ISIN;NL0006144495 Equity ISIN;RELX NV;Consumer, Non-cyclical;Commercial Services;38402.5192;38403080003;1;0;1;#N/A Field Not Applicable;Common Stock;GB;USD;28.07.2016;BBB+;#N/A N/A
NL0009805522 ISIN;NL0009805522 Equity ISIN;YANDEX NV-A;Communications;Web Portals/ISP;6950.119909;6950119763;0;1;1;#N/A Field Not Applicable;Common Stock;RU;USD;05.08.2016;#N/A N/A;#N/A N/A
NL0010273215 ISIN;NL0010273215 Equity ISIN;ASML HOLDING NV;Technology;Semiconductor Equipment;47536.68253;47536683853;1;0;1;#N/A Field Not Applicable;Common Stock;NL;USD;05.08.2016;#N/A N/A;WR
NO0003033102 ISIN;NO0003033102 Equity ISIN;KONGSBERG AUTOMOTIVE ASA;Consumer, Cyclical;Auto/Trk Prts&Equip-Orig;288.8053643;288805373;0;1;1;#N/A Field Not Applicable;Common Stock;NO;USD;27.07.2016;#N/A N/A;#N/A N/A
SE0000103699 ISIN;SE0000103699 Equity ISIN;HEXAGON AB-B SHS;Industrial;Machinery-General Indust;14134.61315;14128760807;0;1;1;#N/A Field Not Applicable;Common Stock;SE;USD;08.07.2016;#N/A N/A;#N/A N/A
SE0000108656 ISIN;SE0000108656 Equity ISIN;ERICSSON LM-B SHS;Communications;Networking Products;24362.86049;24349223806;0;1;1;#N/A Field Not Applicable;Common Stock;SE;USD;05.08.2016;BBB+;WR
US00724F1012 ISIN;US00724F1012 Equity ISIN;ADOBE SYSTEMS INC;Technology;Electronic Forms;49350.7304;49350729944;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;A-;#N/A N/A
US0143391052 ISIN;US0143391052 Equity ISIN;ALDER BIOPHARMACEUTICALS INC;Consumer, Non-cyclical;Medical-Biomedical/Gene;1578.314703;1578314665;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;#N/A N/A;#N/A N/A
US01609W1027 ISIN;US01609W1027 Equity ISIN;ALIBABA GROUP HOLDING-SP ADR;Communications;E-Commerce/Products;211075.4454;2.11075E+11;1;0;1;#N/A Field Not Applicable;ADR;CN;USD;05.08.2016;A+;#N/A N/A
US0231351067 ISIN;US0231351067 Equity ISIN;AMAZON.COM INC;Communications;E-Commerce/Products;363130.8424;3.63131E+11;1;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;AA-;WR
US05463EAB48 ISIN;US05463EAB48 Equity ISIN;AXIS BANK/DUBAI;Financial;Commer Banks Non-US;#N/A Field Not Applicable;1.35795E+12;;1;1;750000000;EURO MTN;AE;USD;05.08.2016;#N/A N/A;#N/A N/A
US05577E1010 ISIN;US05577E1010 Equity ISIN;BT GROUP PLC-SPON ADR;Communications;Telephone-Integrated;53211.95614;53211957654;1;1;1;#N/A Field Not Applicable;ADR;GB;USD;05.08.2016;BBB+;#N/A N/A
US0567521085 ISIN;US0567521085 Equity ISIN;BAIDU INC - SPON ADR;Communications;Web Portals/ISP;57955.36854;57955366845;1;0;1;#N/A Field Not Applicable;ADR;CN;USD;05.08.2016;#N/A N/A;A3
US06120TAA60 ISIN;US06120TAA60 Equity ISIN;BANK OF CHINA;Financial;Commer Banks Non-US;#N/A Field Not Applicable;1.09644E+12;;1;1;3000000000;EURO-DOLLAR;CN;USD;05.08.2016;A;#N/A N/A
US0640581007 ISIN;US0640581007 Equity ISIN;BANK OF NEW YORK MELLON CORP;Financial;Fiduciary Banks;43621.8466;43621846596;1;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;A;A1
US06652K1034 ISIN;US06652K1034 Equity ISIN;BANKUNITED INC;Financial;Commer Banks-Southern US;3165.102299;3165102363;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;#N/A N/A;#N/A N/A
US0846701086 ISIN;US0846701086 Equity ISIN;BERKSHIRE HATHAWAY INC-CL A;Financial;Reinsurance;358774.5399;3.58775E+11;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;AA;Aa2
US09061G1013 ISIN;US09061G1013 Equity ISIN;BIOMARIN PHARMACEUTICAL INC;Consumer, Non-cyclical;Medical-Biomedical/Gene;16060.18251;16060182115;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;NR;#N/A N/A
US1270971039 ISIN;US1270971039 Equity ISIN;CABOT OIL & GAS CORP;Energy;Oil Comp-Explor&Prodtn;11424.04038;11424040627;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;#N/A N/A;#N/A N/A
US16939P1066 ISIN;US16939P1066 Equity ISIN;CHINA LIFE INSURANCE CO-ADR;Financial;Life/Health Insurance;82067.37292;82081992354;1;0;1;#N/A Field Not Applicable;ADR;CN;USD;05.08.2016;AA-;#N/A N/A
US1694261033 ISIN;US1694261033 Equity ISIN;CHINA TELECOM CORP LTD-ADR;Communications;Telecom Services;41283.59972;41283601081;1;1;1;#N/A Field Not Applicable;ADR;CN;USD;05.08.2016;#N/A N/A;#N/A N/A
US1729674242 ISIN;US1729674242 Equity ISIN;CITIGROUP INC;Financial;Diversified Banking Inst;132833.7046;1.32834E+11;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BBB+;#N/A N/A
US177376AD23 ISIN;US177376AD23 Equity ISIN;CITRIX SYSTEMS INC;Technology;Applications Software;#N/A Field Not Applicable;13236786160;;1;1;1437500000;US DOMESTIC;US;USD;05.08.2016;NR;#N/A N/A
US2547091080 ISIN;US2547091080 Equity ISIN;DISCOVER FINANCIAL SERVICES;Financial;Finance-Credit Card;23325.61088;23325610514;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BBB-;#N/A N/A
US2686481027 ISIN;US2686481027 Equity ISIN;EMC CORP/MA;Technology;Computers-Memory Devices;55571.18096;55571180365;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;A      *-;#N/A N/A
US2786421030 ISIN;US2786421030 Equity ISIN;EBAY INC;Communications;E-Commerce/Products;35439.90095;35439901639;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BBB+;Baa1
US30303M1027 ISIN;US30303M1027 Equity ISIN;FACEBOOK INC-A;Communications;Internet Content-Entmnt;359346.738;3.59347E+11;1;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;#N/A N/A;#N/A N/A
US3696041033 ISIN;US3696041033 Equity ISIN;GENERAL ELECTRIC CO;Industrial;Diversified Manufact Op;280307.3744;2.80307E+11;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;AA+;A1
US404280AH22 ISIN;US404280AH22 Equity ISIN;HSBC HOLDINGS PLC;Financial;Diversified Banking Inst;#N/A Field Not Applicable;1.07221E+11;;1;1;2500000000;GLOBAL;GB;USD;05.08.2016;A;#N/A N/A
US4052171000 ISIN;US4052171000 Equity ISIN;HAIN CELESTIAL GROUP INC;Consumer, Non-cyclical;Food-Misc/Diversified;5385.512653;5385512511;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;#N/A N/A;#N/A N/A
US4523271090 ISIN;US4523271090 Equity ISIN;ILLUMINA INC;Consumer, Non-cyclical;Medical-Biomedical/Gene;24413.29782;24413298000;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BBBu;#N/A N/A
US53071M1045 ISIN;US53071M1045 Equity ISIN;LIBERTY INTERACTIVE CORP Q-A;Consumer, Cyclical;Retail-Catalog Shopping;9817.777405;9817777132;0;1;1;#N/A Field Not Applicable;Tracking Stk;US;USD;05.08.2016;BB;#N/A N/A
US5486611073 ISIN;US5486611073 Equity ISIN;LOWE'S COS INC;Consumer, Cyclical;Retail-Building Products;72412.47847;72412477392;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;A-;#N/A N/A
US6092071058 ISIN;US6092071058 Equity ISIN;MONDELEZ INTERNATIONAL INC-A;Consumer, Non-cyclical;Food-Misc/Diversified;67308.00094;67308000229;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BBB;Baa1
US6350171061 ISIN;US6350171061 Equity ISIN;NATIONAL BEVERAGE CORP;Consumer, Non-cyclical;Beverages-Non-alcoholic;2517.772901;2517772816;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;#N/A N/A;#N/A N/A
US64110L1061 ISIN;US64110L1061 Equity ISIN;NETFLIX INC;Communications;Internet Content-Entmnt;41599.22387;41599224398;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;B+;#N/A N/A
US65249B2088 ISIN;US65249B2088 Equity ISIN;NEWS CORP - CLASS B;Communications;Publishing-Newspapers;7531.029981;7531030034;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;#N/A N/A;#N/A N/A
US7185461040 ISIN;US7185461040 Equity ISIN;PHILLIPS 66;Energy;Oil Refining&Marketing;40928.64468;40928645318;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BBB+;A3
US7427181091 ISIN;US7427181091 Equity ISIN;PROCTER & GAMBLE CO/THE;Consumer, Non-cyclical;Cosmetics&Toiletries;228333.6497;2.28334E+11;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;AA-;Aa3
US86732Y1091 ISIN;US86732Y1091 Equity ISIN;SUNEDISON INC;Energy;Energy-Alternate Sources;45.80945629;45809455.79;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;NR;#N/A N/A
US8740801043 ISIN;US8740801043 Equity ISIN;TAL EDUCATION GROUP- ADR;Consumer, Non-cyclical;Schools;4853.774652;4853774788;0;1;1;#N/A Field Not Applicable;ADR;CN;USD;05.08.2016;#N/A N/A;#N/A N/A
US89977P1066 ISIN;US89977P1066 Equity ISIN;TUNIU CORP-SPON ADR;Communications;E-Commerce/Services;1130.486897;1130486863;0;1;1;#N/A Field Not Applicable;ADR;CN;USD;05.08.2016;#N/A N/A;#N/A N/A
US90130A2006 ISIN;US90130A2006 Equity ISIN;TWENTY-FIRST CENTURY FOX - B;Communications;Multimedia;49207.30829;49207307868;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BBB+;#N/A N/A
US9130171096 ISIN;US9130171096 Equity ISIN;UNITED TECHNOLOGIES CORP;Industrial;Aerospace/Defense-Equip;90170.5077;90170509485;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;A-;A3
US92826C8394 ISIN;US92826C8394 Equity ISIN;VISA INC-CLASS A SHARES;Financial;Finance-Credit Card;189195.3136;1.89195E+11;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;A+;A1
US9311421039 ISIN;US9311421039 Equity ISIN;WAL-MART STORES INC;Consumer, Cyclical;Retail-Discount;229883.8688;2.29884E+11;1;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;AA;Aa2
US9831341071 ISIN;US9831341071 Equity ISIN;WYNN RESORTS LTD;Consumer, Cyclical;Casino Hotels;9925.631949;9925631732;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BB;#N/A N/A
US9842451000 ISIN;US9842451000 Equity ISIN;YPF S.A.-SPONSORED ADR;Energy;Oil Comp-Integrated;7205.490248;7205490368;0;1;1;#N/A Field Not Applicable;ADR;AR;USD;05.08.2016;NR;#N/A N/A
US9843321061 ISIN;US9843321061 Equity ISIN;YAHOO! INC;Communications;Web Portals/ISP;37037.34715;37037345553;1;0;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BB+u   *-;#N/A N/A
XS0109320688 ISIN;XS0109320688 Equity ISIN;HIGHBURY FINANCE BV;Financial;Diversified Finan Serv;#N/A Field Not Applicable;#N/A Field Not Applicable;;1;1;335500000;EURO NON-DOLLAR;NL;GBP;08.08.2016;#N/A N/A;#N/A N/A
XS0829125847 ISIN;XS0829125847 Equity ISIN;INSTITUT CREDITO OFICIAL;Government;Sovereign Agency;#N/A Field Not Applicable;#N/A N/A;;1;1;1350000000;EURO MTN;ES;EUR;14.03.2016;BBB+;#N/A N/A
XS0829780203 ISIN;XS0829780203 Equity ISIN;MALAYAN BANKING BHD;Financial;Commer Banks Non-US;#N/A Field Not Applicable;79870447290;;1;1;800000000;EURO MTN;MY;USD;05.08.2016;A-;#N/A N/A
XS0881566680 ISIN;XS0881566680 Equity ISIN;CHINA STATE CONS FINANCE;Industrial;Building&Construct-Misc;#N/A Field Not Applicable;48830955150;;1;1;500000000;EURO-DOLLAR;HK;USD;28.07.2016;#N/A N/A;#N/A N/A
XS0963156350 ISIN;XS0963156350 Equity ISIN;CENTURY MASTER INVESTMEN;Financial;Invest Mgmnt/Advis Serv;#N/A Field Not Applicable;#N/A N/A;;1;1;600000000;EURO-DOLLAR;HK;USD;05.08.2016;#N/A N/A;#N/A N/A
XS1088292815 ISIN;XS1088292815 Equity ISIN;HUARONG FINANCE CO LTD;Financial;Investment Companies;#N/A Field Not Applicable;1.20727E+11;;1;1;1200000000;EURO-DOLLAR;VG;USD;28.07.2016;#N/A N/A;#N/A N/A
XS1090155125 ISIN;XS1090155125 Equity ISIN;TELEFONICA SA;Communications;Telephone-Integrated;#N/A Field Not Applicable;44508132010;;1;1;750000000;EURO MTN;ES;EUR;08.08.2016;BBB;#N/A N/A
XS1155697243 ISIN;XS1155697243 Equity ISIN;LA MONDIALE;Financial;Life/Health Insurance;#N/A Field Not Applicable;#N/A N/A;;1;1;768405000;EURO-ZONE;FR;EUR;08.08.2016;A-;#N/A N/A
XS1165659514 ISIN;XS1165659514 Equity ISIN;HUARONG FINANCE II;Financial;Investment Companies;#N/A Field Not Applicable;#N/A N/A;;1;1;1400000000;EURO MTN;VG;USD;05.08.2016;#N/A N/A;#N/A N/A
XS1180651587 ISIN;XS1180651587 Equity ISIN;ACHMEA BV;Financial;Multi-line Insurance;#N/A Field Not Applicable;#N/A N/A;;1;1;750000000;EURO MTN;NL;EUR;08.08.2016;BBB+;#N/A N/A
XS1207354546 ISIN;XS1207354546 Equity ISIN;BEIJING CAPITAL POLARIS;Diversified;Diversified Operations;#N/A Field Not Applicable;#N/A N/A;;1;1;600000000;EURO-DOLLAR;VG;USD;23.03.2016;#N/A N/A;#N/A N/A
XS1227592703 ISIN;XS1227592703 Equity ISIN;BANK OF INDIA/JERSEY;Financial;Commer Banks Non-US;#N/A Field Not Applicable;1.03071E+11;;1;1;750000000;EURO-DOLLAR;JE;USD;08.08.2016;#N/A N/A;#N/A N/A
ZAE000006896 ISIN;ZAE000006896 Equity ISIN;SASOL LTD;Energy;Oil Comp-Integrated;18141.19827;18141198021;0;1;1;#N/A Field Not Applicable;Common Stock;ZA;USD;27.07.2016;#N/A N/A;#N/A N/A
ZAE000015889 ISIN;ZAE000015889 Equity ISIN;NASPERS LTD-N SHS;Communications;Multimedia;68219.44734;68250014403;1;1;1;#N/A Field Not Applicable;Common Stock;ZA;USD;27.07.2016;BBB-;Baa3
ZAE000042164 ISIN;ZAE000042164 Equity ISIN;MTN GROUP LTD;Communications;Cellular Telecom;17334.06058;17334061286;0;1;1;#N/A Field Not Applicable;Common Stock;ZA;USD;02.08.2016;BBB-;Baa3
